fileName,symbolicProp,attrNum,targetType,targetValueNum,obsNum,missingValueProp,entropy,multiinformation,mutinformation,algorithm,precise
C:/Users/Zh/Desktop/data/balance.csv,0.2,5,Factor,3,625,0.0,1.426,0.69,0.034,MLP,0.944
C:/Users/Zh/Desktop/data/credict.csv,0.625,16,Factor,2,690,0.054,1.169,12.219,0.047,randomForest,0.902
C:/Users/Zh/Desktop/data/iris.txt,0.2,5,Factor,3,150,0.0,1.483,3.303,0.506,MLP,0.967
C:/Users/Zh/Desktop/data/sleep.txt,0.0,10,int,5,62,0.323,0.895,5.436,0.145,GLMNET,-0.273
C:/Users/Zh/Desktop/data/wine.csv,0.0,14,int,3,178,0.0,1.568,16.775,0.186,MLP,-0.073
C:/Users/Zh/Desktop/data/imports-85.csv,0.385,26,int,187,205,0.224,1.196,26.115,0.162,GLMNET,-2138.504
C:/Users/Zh/Desktop/data/diagnosis.csv,0.875,8,Factor,2,120,0.0,0.75,3.232,0.11,randomForest,1
C:/Users/Zh/Desktop/data/auto-mpg.csv,0.0,8,num,129,398,0.015,1.671,7.712,0.386,randomForest,-2.338
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,0.844,23.635,0.076,MLP,-0.528
C:/Users/Zh/Desktop/data/machine.csv,0.222,9,int,116,209,0.0,1.539,8.787,0.255,randomForest,-30.098
C:/Users/Zh/Desktop/data/transfusion.csv,0.0,5,int,2,748,0.0,1.708,3.239,0.332,GLMNET,-0.401
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,1.945,171.248,0.239,MLP,-1.845
C:/Users/Zh/Desktop/data/bands.csv,0.4,40,Factor,2,540,0.487,1.145,40.184,0.052,randomForest,0.812
C:/Users/Zh/Desktop/data/forestfires.csv,0.154,13,num,251,517,0.0,1.723,16.179,0.119,GLMNET,-31.114
C:/Users/Zh/Desktop/data/ecoli.csv,0.125,8,num,77,336,0.0,1.361,5.104,0.083,randomForest,-0.11
C:/Users/Zh/Desktop/data/flags.csv,0.103,29,int,8,194,0.0,0.832,18.873,0.041,randomForest,-1.818
C:/Users/Zh/Desktop/data/glass.csv,0.0,11,int,6,214,0.0,1.41,10.217,0.176,MLP,-0.243
C:/Users/Zh/Desktop/data/hayes.csv,0.0,5,int,3,132,0.0,1.178,1.683,0.088,MLP,-0.453
C:/Users/Zh/Desktop/data/echocardiogram.csv,0.0,10,num,54,132,0.197,1.319,8.525,0.098,GLMNET,-12.715
C:/Users/Zh/Desktop/data/banknote.csv,0.0,5,int,2,1372,0.0,2.056,3.987,0.275,MLP,-0.081
C:/Users/Zh/Desktop/data/winequality-red.csv,0.0,12,int,6,1599,0.0,2.275,20.141,0.104,randomForest,-0.605
C:/Users/Zh/Desktop/data/car.csv,1.0,7,Factor,4,1728,0.0,1.162,0.68,0.017,MLP,0.991
C:/Users/Zh/Desktop/data/chess.csv,1.0,37,Factor,2,3196,0.0,0.41,7.16,0.009,MLP,0.992
C:/Users/Zh/Desktop/data/abalone.csv,0.111,9,int,28,4177,0.0,2.518,14.676,0.805,MLP,-2.089
C:/Users/Zh/Desktop/data/winequality-white.csv,0.0,12,int,7,4898,0.0,2.621,23.256,0.097,randomForest,-0.613





C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,GLMNET,0.444
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,GLMNET,0.75
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.75
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,1
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.5
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.571
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.429
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.25
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.286
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.167
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.5
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.6
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.2
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.286
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,1
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.4
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,1
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.25
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,1
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.4
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.5
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.6
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.143
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.2
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.6
C:/Users/Zh/Desktop/data/log.csv,0.286,7,Factor,3,25,0.0,4.394,1.474,5.067,randomForest,0.5
C:/Users/Zh/Desktop/data/log.csv,0.125,8,Factor,3,25,0.0,5.359,2.715,10.836,MLP,0.6
C:/Users/Zh/Desktop/data/log.csv,0.125,8,Factor,3,25,0.0,5.359,2.715,10.836,GLMNET,0.667
C:/Users/Zh/Desktop/data/log.csv,0.125,8,Factor,3,25,0.0,5.359,2.715,10.836,GLMNET,0.6
C:/Users/Zh/Desktop/data/log.csv,0.125,8,Factor,3,25,0.0,5.359,2.715,10.836,GLMNET,0.667
C:/Users/Zh/Desktop/data/log.csv,0.2,10,Factor,3,25,0.0,6.471,3.495,12.793,GLMNET,0.625
C:/Users/Zh/Desktop/data/log.csv,0.2,10,Factor,3,25,0.0,6.471,3.495,12.793,randomForest,0.5
C:/Users/Zh/Desktop/data/wine.csv,0.0,14,int,3,178,0.0,21.957,16.775,55.862,MLP,-0.114
C:/Users/Zh/Desktop/data/diagnosis.csv,0.875,8,Factor,2,120,0.0,5.998,3.232,12.164,randomForest,1
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,MLP,-0.557
C:/Users/Zh/Desktop/data/transfusion.csv,0.0,5,int,2,748,0.0,8.541,3.239,15.187,MLP,-0.376
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,null,0
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,null,0
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,null,0
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.356
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.265
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.345
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,null,0
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.51
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.479
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.595
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.475
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.385
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.32
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.321
C:/Users/Zh/Desktop/data/dermatology.csv,0.029,35,int,6,366,0.0,29.538,23.635,119.485,randomForest,-0.277
C:/Users/Zh/Desktop/data/dermatology.csv,0.0,35,int,6,366,0.022,29.525,23.644,120.194,randomForest,-0.295
C:/Users/Zh/Desktop/data/log.csv,0.2,10,Factor,3,25,0.0,6.491,3.494,13.232,randomForest,0.75
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,177.019,171.248,2138.117,MLP,-1.671
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,177.019,171.248,2138.117,MLP,-2.283
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,177.019,171.248,2138.117,randomForest,-2.103
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,177.019,171.248,2138.117,MLP,-2.174
C:/Users/Zh/Desktop/data/libras.csv,0.0,91,int,15,360,0.0,177.019,171.248,2138.117,MLP,-2.071
